*Stress RAOs
Unit : MPa

,FP1_Fx, , , , ,,FP1_Fy, , , , ,,FP1_Fz, , , , ,,FP2_Fx, , , , ,,FP2_Fy, , , , ,,FP2_Fz, , , , ,,FP3_Fx, , , , ,,FP3_Fy, , , , ,,FP3_Fz, , , , ,
Ele_ID,S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),
72420,-3.2459E-08,2.2253E-07,8.3243E-09,2.5148E-08,3.129E-07,2.9407E-08,9.2005E-08,6.1519E-08,-3.3293E-07,2.3089E-08,1.6544E-08,-3.2148E-07,7.8001E-08,4.7258E-07,4.0837E-09,9.4375E-08,5.2259E-07,3.2799E-09,1.5213E-08,-8.3233E-08,-1.5589E-07,6.4711E-09,-7.1867E-08,-1.6032E-07,2.7268E-08,2.2412E-07,-2.3952E-09,3.0192E-08,2.361E-07,-9.6206E-10,-4.9344E-08,-2.7096E-07,1.2293E-07,-4.4415E-08,-2.9413E-07,1.2429E-07,-9.0443E-09,-1.6363E-07,1.7855E-07,3.7478E-09,-1.5012E-07,1.7153E-07,5.1984E-08,-1.0413E-07,5.4297E-09,-1.8464E-08,-2.0222E-07,-1.9667E-08,-3.0905E-08,-1.9697E-07,-1.2644E-07,-5.4018E-08,-2.2669E-07,-1.2674E-07
72421,-6.3909E-08,1.0793E-07,-2.561E-08,-1.6081E-08,8.3271E-08,-2.793E-08,6.3813E-08,1.1337E-07,-3.7141E-07,3.0742E-08,1.2176E-07,-3.3962E-07,3.8759E-08,5.0235E-07,2.2417E-08,3.2148E-08,4.6518E-07,2.4054E-08,1.7708E-09,-1.0077E-07,-1.7208E-07,-1.7306E-08,-1.1665E-07,-1.7165E-07,1.5365E-08,2.5019E-07,1.099E-08,2.1806E-08,2.4162E-07,1.091E-08,-2.1806E-08,-2.8533E-07,1.1789E-07,-1.659E-08,-2.6408E-07,1.1803E-07,-2.8746E-09,-1.6864E-07,1.8678E-07,-2.2256E-08,-1.8368E-07,1.8228E-07,7.4965E-08,-2.3288E-10,4.6471E-08,1.5199E-08,2.7284E-08,4.694E-08,-1.7474E-08,-2.1674E-07,-1.4139E-07,-1.5336E-08,-1.9768E-07,-1.43E-07
72424,5.8219E-08,7.338E-08,1.2527E-07,5.8481E-08,4.7106E-08,1.4917E-07,3.7068E-08,1.5626E-07,-3.8649E-07,1.1836E-07,2.2874E-07,-3.8052E-07,5.0376E-08,5.2656E-07,2.5887E-08,6.7678E-08,5.4687E-07,1.9902E-08,8.0194E-09,-1.0387E-08,-1.2743E-07,3.8523E-08,7.9415E-09,-1.3068E-07,1.3938E-08,2.5728E-07,-1.1249E-08,1.0725E-08,2.5882E-07,-1.2637E-08,-2.5142E-08,-3.6781E-07,1.1011E-07,-4.5637E-08,-3.8454E-07,1.1429E-07,-1.6237E-08,-2.3441E-07,1.969E-07,-1.3232E-08,-2.3578E-07,1.9056E-07,-6.3915E-08,5.606E-08,-1.0294E-07,-4.9927E-08,9.3515E-08,-1.3213E-07,-2.6031E-08,-1.5941E-07,-1.3635E-07,-2.2759E-08,-1.6291E-07,-1.3388E-07
72425,-2.1766E-08,3.1147E-08,9.524E-08,-3.1371E-08,2.2653E-08,9.3657E-08,5.0662E-08,1.2249E-07,-4.0718E-07,7.082E-08,1.3395E-07,-3.8202E-07,3.9713E-08,4.823E-07,3.9199E-08,2.75E-08,4.7417E-07,3.5701E-08,-1.6903E-08,-4.3532E-08,-1.3929E-07,1.7074E-08,-2.7273E-08,-1.3921E-07,3.0457E-08,2.5823E-07,-2.9383E-09,4.2281E-09,2.4469E-07,-4.9191E-09,-2.8239E-08,-3.4229E-07,1.0823E-07,-1.8831E-08,-3.3658E-07,1.1108E-07,-3.6595E-08,-2.4755E-07,2.0689E-07,5.8512E-10,-2.3152E-07,2.0361E-07,1.823E-08,8.3352E-08,-6.705E-08,4.1459E-08,9.8634E-08,-6.7172E-08,-1.1939E-08,-1.3927E-07,-1.4841E-07,-9.0085E-09,-1.3653E-07,-1.4746E-07
72450,1.634E-07,4.5275E-07,1.393E-07,-1.864E-07,4.4143E-07,1.9473E-07,-1.16E-07,-1.0337E-07,-5.8101E-07,1.8923E-07,-6.8001E-08,-5.9303E-07,2.9488E-08,5.5805E-07,-2.2814E-08,1.2815E-07,6.4711E-07,-3.0345E-08,-2.2574E-08,-4.2018E-08,-1.4194E-07,2.8237E-08,-1.6058E-08,-1.488E-07,1.903E-08,2.3127E-07,-1.1425E-08,3.9318E-08,2.5458E-07,-1.1668E-08,-1.4416E-08,-3.1259E-07,1.2E-07,-7.2163E-08,-3.6002E-07,1.2372E-07,-2.9481E-08,-1.1219E-07,1.6943E-07,7.039E-09,-8.9016E-08,1.648E-07,-1.6561E-07,-3.1746E-07,-1.3841E-07,2.3562E-07,-2.8797E-07,-1.9504E-07,-1.2745E-08,-2.5122E-07,-9.5491E-08,-6.1148E-08,-2.9921E-07,-9.0855E-08
72451,1.0568E-07,4.1128E-07,4.8545E-08,-4.1073E-08,3.4966E-07,1.3108E-07,2.1655E-08,-4.758E-09,-5.3334E-07,3.8442E-08,7.9119E-09,-5.7852E-07,8.1782E-08,5.6037E-07,4.3788E-09,9.7197E-08,5.1615E-07,-1.2318E-08,3.6043E-09,-4.4602E-08,-1.5304E-07,1.1294E-08,-5.1756E-08,-1.6052E-07,3.1748E-08,2.3837E-07,3.7642E-09,2.7738E-08,2.2025E-07,-1.9548E-10,-4.8502E-08,-3.1843E-07,1.0874E-07,-4.6101E-08,-2.9118E-07,1.1887E-07,-1.8373E-08,-1.2724E-07,1.8831E-07,4.014E-09,-1.3221E-07,1.8372E-07,-9.8422E-08,-2.9076E-07,-2.7424E-08,6.6974E-08,-2.2241E-07,-1.2434E-07,-3.5008E-08,-2.447E-07,-1.1367E-07,-5.4319E-08,-2.2372E-07,-1.0626E-07
72454,-3.0046E-07,2.7994E-07,2.2433E-07,3.2342E-07,5.8113E-07,2.5077E-07,2.3234E-07,1.786E-08,-6.4719E-07,-2.2652E-07,-2.4138E-07,-6.4026E-07,1.2036E-07,5.7497E-07,3.5748E-08,1.6663E-08,5.2018E-07,3.3303E-08,3.3323E-08,4.3018E-08,-1.1591E-07,-1.3864E-08,1.9561E-08,-1.1887E-07,3.8099E-08,2.4087E-07,-3.3697E-09,1.2318E-08,2.2317E-07,-2.9737E-09,-7.4544E-08,-3.8771E-07,8.9526E-08,-1.3647E-08,-3.5038E-07,9.0692E-08,-1.644E-08,-1.8585E-07,1.9675E-07,-4.3608E-08,-1.9645E-07,1.9502E-07,3.6373E-07,-1.369E-07,-2.0431E-07,-3.4364E-07,-4.7893E-07,-2.3231E-07,-4.867E-08,-1.9376E-07,-1.3015E-07,-1.1153E-09,-1.7356E-07,-1.284E-07
72455,2.4624E-08,1.5202E-07,1.3686E-07,2.5982E-07,2.2337E-07,1.8241E-07,-5.4758E-09,9.8733E-08,-5.6061E-07,-3.6426E-08,1.0275E-07,-5.8184E-07,7.1863E-08,5.5855E-07,6.0391E-08,5.366E-08,5.6121E-07,5.0398E-08,1.5432E-08,1.8475E-08,-1.2048E-07,1.7599E-08,2.3379E-08,-1.2761E-07,1.6444E-08,2.5127E-07,6.9691E-09,1.2974E-08,2.509E-07,4.5255E-09,-3.4601E-08,-3.8299E-07,8.0135E-08,-3.4961E-08,-3.8767E-07,8.795E-08,-1.5966E-08,-2.1422E-07,2.2043E-07,-3.1507E-08,-2.217E-07,2.1532E-07,-1.341E-08,-1.104E-08,-1.0258E-07,-2.7866E-07,-8.9889E-08,-1.5403E-07,-3.8232E-08,-1.7852E-07,-1.4692E-07,-1.8755E-08,-1.7585E-07,-1.436E-07
72702,-3.2915E-08,2.2241E-07,-8.4125E-09,2.4448E-08,3.1275E-07,-2.9435E-08,-1.3053E-08,5.3513E-08,-3.2905E-07,-4.4854E-09,1.5585E-08,-2.965E-07,7.8061E-08,4.7261E-07,-4.1421E-09,9.4591E-08,5.2267E-07,-3.3439E-09,-8.977E-09,-1.6333E-07,-1.7856E-07,3.9645E-09,-1.4967E-07,-1.7156E-07,2.7416E-08,2.172E-07,1.0392E-08,3.7325E-08,2.3217E-07,6.7445E-09,-3.0894E-08,-1.9716E-07,1.2652E-07,-5.4125E-08,-2.2697E-07,1.2685E-07,1.498E-08,-8.3522E-08,1.5595E-07,6.1499E-09,-7.224E-08,1.6043E-07,5.258E-08,-1.1092E-07,2.69E-09,-1.0703E-08,-2.0601E-07,2.5513E-08,-4.94E-08,-2.708E-07,-1.2298E-07,-4.4545E-08,-2.9396E-07,-1.2436E-07
72703,-6.3701E-08,1.0791E-07,2.5172E-08,-1.5944E-08,8.3118E-08,2.7591E-08,2.5282E-08,1.278E-07,-4.1501E-07,7.3735E-09,1.3958E-07,-3.8684E-07,3.8638E-08,5.0232E-07,-2.2381E-08,3.224E-08,4.6522E-07,-2.4036E-08,-2.9065E-09,-1.6858E-07,-1.8672E-07,-2.2104E-08,-1.8357E-07,-1.8216E-07,1.4831E-08,2.4061E-07,2.5756E-09,2.3343E-08,2.33E-07,-7.2487E-10,-1.7367E-08,-2.1675E-07,1.4129E-07,-1.5384E-08,-1.9775E-07,1.4288E-07,1.7625E-09,-1.0085E-07,1.7201E-07,-1.7295E-08,-1.1674E-07,1.7154E-07,7.43E-08,-9.7738E-09,-3.2455E-08,1.6557E-08,1.8786E-08,-3.6402E-08,-2.1761E-08,-2.8527E-07,-1.1786E-07,-1.667E-08,-2.6406E-07,-1.1796E-07
72706,5.7775E-08,7.3168E-08,-1.2556E-07,5.8015E-08,4.6806E-08,-1.4943E-07,-7.4934E-08,1.3561E-07,-2.6737E-07,-1.4737E-07,1.0303E-07,-2.3329E-07,5.0599E-08,5.2655E-07,-2.5873E-08,6.79E-08,5.4687E-07,-1.992E-08,-1.6043E-08,-2.3449E-07,-1.9684E-07,-1.3165E-08,-2.359E-07,-1.9052E-07,2.6008E-08,2.3676E-07,1.6172E-08,2.1127E-08,2.3951E-07,1.5074E-08,-2.618E-08,-1.5931E-07,1.3631E-07,-2.2853E-08,-1.6278E-07,1.3385E-07,7.8167E-09,-1.0314E-08,1.274E-07,3.844E-08,8.0419E-09,1.3062E-07,-5.1441E-08,3.5775E-08,1.0816E-07,-3.9084E-08,7.4524E-08,1.3485E-07,-2.5239E-08,-3.6791E-07,-1.1012E-07,-4.5785E-08,-3.8466E-07,-1.1427E-07
72707,-2.1908E-08,3.1036E-08,-9.549E-08,-3.1639E-08,2.2503E-08,-9.3903E-08,-1.9511E-09,1.9272E-07,-3.2832E-07,-2.331E-08,1.8475E-07,-3.0382E-07,3.9724E-08,4.8233E-07,-3.918E-08,2.748E-08,4.7419E-07,-3.5686E-08,-3.6415E-08,-2.4754E-07,-2.0694E-07,5.8343E-10,-2.3157E-07,-2.0364E-07,2.9898E-08,2.3146E-07,1.2053E-08,6.0039E-09,2.1983E-07,1.1287E-08,-1.2028E-08,-1.3929E-07,1.4841E-07,-9.0032E-09,-1.3651E-07,1.4746E-07,-1.7116E-08,-4.3525E-08,1.3938E-07,1.697E-08,-2.7224E-08,1.393E-07,1.7789E-08,5.6708E-08,7.6434E-08,4.352E-08,7.3942E-08,7.3808E-08,-2.8164E-08,-3.423E-07,-1.0828E-07,-1.8804E-08,-3.3662E-07,-1.1113E-07
72732,1.6335E-07,4.5273E-07,-1.3896E-07,-1.8627E-07,4.4142E-07,-1.9447E-07,-2.78E-08,1.1899E-08,-4.1489E-07,8.8427E-08,3.043E-08,-3.6795E-07,2.9476E-08,5.5812E-07,2.2588E-08,1.2737E-07,6.4703E-07,3.0174E-08,-2.9136E-08,-1.1223E-07,-1.6936E-07,6.5821E-09,-8.9286E-08,-1.6471E-07,2.1414E-08,2.2734E-07,2.7582E-08,4.2324E-08,2.5223E-07,2.9504E-08,-1.283E-08,-2.5113E-07,9.5546E-08,-6.0625E-08,-2.9897E-07,9.0853E-08,-2.2363E-08,-4.1808E-08,1.419E-07,2.7654E-08,-1.6104E-08,1.4877E-07,-1.6316E-07,-3.2137E-07,1.5426E-07,2.3859E-07,-2.903E-07,2.1265E-07,-1.4407E-08,-3.1279E-07,-1.1986E-07,-7.1692E-08,-3.6013E-07,-1.2358E-07
72733,1.0524E-07,4.1111E-07,-4.8528E-08,-4.1603E-08,3.4949E-07,-1.3112E-07,-8.6798E-08,-5.6407E-08,-4.8421E-07,6.3261E-08,-1.679E-08,-4.2897E-07,8.2272E-08,5.6047E-07,-4.4587E-09,9.7601E-08,5.1617E-07,1.2279E-08,-1.8032E-08,-1.2739E-07,-1.884E-07,4.0601E-09,-1.3248E-07,-1.8381E-07,3.3922E-08,2.3265E-07,2.253E-08,3.6265E-08,2.173E-07,2.622E-08,-3.5265E-08,-2.4452E-07,1.1373E-07,-5.4399E-08,-2.2342E-07,1.0631E-07,3.6678E-09,-4.4345E-08,1.5314E-07,1.1084E-08,-5.1559E-08,1.6067E-07,-9.5888E-08,-2.9632E-07,5.3707E-08,7.5967E-08,-2.2517E-07,1.504E-07,-4.884E-08,-3.1873E-07,-1.0875E-07,-4.6437E-08,-2.9149E-07,-1.1893E-07
72736,-3.0042E-07,2.7982E-07,-2.2417E-07,3.2317E-07,5.8093E-07,-2.5064E-07,1.7596E-07,7.6143E-08,-4.261E-07,-9.8204E-08,-1.9419E-08,-3.9049E-07,1.2046E-07,5.7492E-07,-3.5966E-08,1.7236E-08,5.2026E-07,-3.3604E-08,-1.6532E-08,-1.86E-07,-1.9676E-07,-4.3285E-08,-1.9649E-07,-1.9509E-07,4.5915E-08,2.3146E-07,1.7547E-08,1.922E-08,2.1832E-07,1.8136E-08,-4.8595E-08,-1.9365E-07,1.3026E-07,-1.4704E-09,-1.7359E-07,1.2856E-07,3.3239E-08,4.3027E-08,1.1591E-07,-1.3594E-08,1.9666E-08,1.1883E-07,3.7151E-07,-1.4617E-07,2.1835E-07,-3.3655E-07,-4.8357E-07,2.4736E-07,-7.4701E-08,-3.8775E-07,-8.944E-08,-1.3995E-08,-3.5046E-07,-9.0549E-08
72737,2.4137E-08,1.5189E-07,-1.3665E-07,2.592E-07,2.2313E-07,-1.822E-07,2.4408E-08,1.2795E-07,-4.4154E-07,-2.1578E-07,4.661E-08,-4.1068E-07,7.1773E-08,5.5852E-07,-6.0487E-08,5.3647E-08,5.6122E-07,-5.054E-08,-1.6106E-08,-2.1419E-07,-2.2034E-07,-3.1447E-08,-2.2158E-07,-2.1529E-07,3.3605E-08,2.3736E-07,1.6321E-08,2.6254E-08,2.3832E-07,1.701E-08,-3.8059E-08,-1.7851E-07,1.4688E-07,-1.8767E-08,-1.7591E-07,1.4359E-07,1.5209E-08,1.8364E-08,1.2051E-07,1.743E-08,2.3244E-08,1.2761E-07,4.2395E-09,-2.4797E-08,1.2568E-07,-2.6479E-07,-1.0221E-07,1.7538E-07,-3.4639E-08,-3.8295E-07,-8.0045E-08,-3.4935E-08,-3.8761E-07,-8.7829E-08
72876,-3.2224E-08,2.4647E-08,3.4566E-08,-1.4426E-08,2.2605E-08,2.6465E-08,8.6355E-08,-6.1604E-09,2.8356E-07,1.3189E-07,1.699E-08,2.6701E-07,2.6137E-08,3.1335E-07,-3.9694E-08,-9.6967E-08,3.202E-07,-1.8037E-08,-1.4007E-08,-2.1953E-07,3.0398E-08,-2.9715E-08,-2.185E-07,3.5063E-08,-2.6803E-09,-3.8341E-08,9.1562E-09,-4.1351E-09,-3.8246E-08,9.4683E-09,1.1185E-08,1.6998E-07,-2.9131E-08,2.1476E-08,1.6931E-07,-3.2013E-08,-1.4016E-08,-2.1958E-07,3.0343E-08,-2.9737E-08,-2.1856E-07,3.5009E-08,1.4026E-09,2.0112E-08,-4.8124E-09,2.1621E-09,2.006E-08,-4.9763E-09,1.1185E-08,1.7001E-07,-2.9107E-08,2.148E-08,1.6934E-07,-3.199E-08
72877,-4.9939E-09,4.9427E-09,3.7356E-08,2.9664E-08,-6.1407E-09,3.1096E-08,-8.3092E-09,5.8858E-08,2.6289E-07,3.2568E-08,9.7361E-08,2.5518E-07,-1.3381E-07,2.911E-07,-1.0376E-07,-3.4458E-07,2.8961E-07,-9.5753E-08,-4.5648E-08,-2.2029E-07,1.9734E-08,-7.9065E-08,-2.0994E-07,2.4914E-08,-6.1681E-09,-3.8965E-08,7.9081E-09,-9.7122E-09,-3.7117E-08,8.563E-09,3.2729E-08,1.7128E-07,-2.1764E-08,5.5276E-08,1.6321E-07,-2.5413E-08,-4.5638E-08,-2.2036E-07,1.9681E-08,-7.9072E-08,-2.1002E-07,2.4863E-08,3.2436E-09,2.0432E-08,-4.1572E-09,5.0966E-09,1.9458E-08,-4.5014E-09,3.2738E-08,1.7131E-07,-2.1742E-08,5.5285E-08,1.6324E-07,-2.5392E-08
72878,8.1244E-08,-4.6104E-09,4.0315E-08,1.6775E-07,-1.3818E-09,4.1237E-08,-1.5382E-07,1.2935E-07,2.6856E-07,-7.9675E-08,1.9911E-07,2.6581E-07,-5.7382E-07,1.3548E-07,-1.7254E-07,-7.5611E-07,3.8905E-08,-1.8612E-07,-1.6028E-07,-2.5228E-07,6.2116E-09,-1.8529E-07,-2.5622E-07,3.9097E-09,-2.2E-08,-4.3881E-08,6.0799E-09,-2.3038E-08,-4.2929E-08,5.8908E-09,1.1541E-07,1.9508E-07,-1.2068E-08,1.2995E-07,1.9574E-07,-1.0594E-08,-1.6024E-07,-2.5238E-07,6.1549E-09,-1.8526E-07,-2.5632E-07,3.8543E-09,1.1566E-08,2.3002E-08,-3.2014E-09,1.2111E-08,2.2499E-08,-3.1021E-09,1.1544E-07,1.9512E-07,-1.2051E-08,1.2997E-07,1.9578E-07,-1.0578E-08
72879,2.7695E-07,4.1841E-08,4.8852E-08,3.8056E-07,1.0927E-07,6.1493E-08,-5.6723E-07,1.5353E-07,3.5229E-07,-5.336E-07,1.6541E-07,3.5753E-07,-8.3654E-07,-1.3914E-07,-3.2074E-07,-9.6313E-07,-5.7576E-07,-3.2397E-07,-2.5952E-07,-3.2595E-07,-1.5027E-08,-2.8592E-07,-4.1749E-07,-1.7815E-08,-3.7084E-08,-5.4463E-08,5.3199E-09,-3.875E-08,-6.4744E-08,5.1884E-09,1.89E-07,2.488E-07,9.7291E-11,2.0517E-07,3.1141E-07,1.7402E-09,-2.594E-07,-3.2606E-07,-1.5088E-08,-2.858E-07,-4.1759E-07,-1.7878E-08,1.9519E-08,2.855E-08,-2.8019E-09,2.0402E-08,3.3955E-08,-2.7329E-09,1.8904E-07,2.4885E-07,1.0862E-10,2.0522E-07,3.1146E-07,1.752E-09
