*Stress RAOs
Unit : MPa

,TB_Fx, , , , ,,TB_Fy, , , , ,,TB_Fz, , , , ,,TB_Mx, , , , ,,TB_My, , , , ,,TB_Mz, , , , ,
Ele_ID,S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),
72420,4.57E-07,3.0895E-06,2.9603E-08,6.2352E-07,3.5009E-06,4.3361E-08,1.0899E-07,3.3847E-07,-9.0855E-07,-2.867E-08,2.7138E-07,-9.2622E-07,1.3399E-07,4.607E-07,-3.0741E-08,1.6927E-07,5.6069E-07,-3.6377E-08,-2.7708E-12,-1.3194E-11,-4.382E-11,8.1818E-13,-1.2294E-11,-4.368E-11,1.8031E-11,1.5838E-10,-7.1088E-12,2.1224E-11,1.701E-10,-6.7786E-12,-1.1403E-12,-1.0778E-12,2.1572E-10,4.7525E-13,-1.1094E-12,2.18E-10
72421,1.7707E-07,3.1776E-06,1.1229E-07,1.7859E-07,2.9084E-06,1.1929E-07,6.1293E-08,3.8267E-07,-9.1963E-07,2.3835E-08,3.8429E-07,-9.2535E-07,9.1763E-08,6.3018E-07,1.0629E-08,6.9465E-08,5.2788E-07,1.4638E-08,-4.4066E-13,-1.2583E-11,-4.2237E-11,-9.9683E-13,-1.2823E-11,-4.2168E-11,9.3041E-12,1.7313E-10,-4.0912E-12,8.9094E-12,1.6537E-10,-3.506E-12,-6.7927E-13,-2.0315E-12,2.1714E-10,1.4883E-12,-6.8179E-13,2.1948E-10
72424,3.7345E-07,3.2938E-06,2.8251E-07,4.8193E-07,3.3932E-06,2.6602E-07,-2.5575E-08,9.4067E-07,-9.5592E-07,6.8572E-08,1.01E-06,-9.772E-07,8.0727E-08,6.5855E-07,-6.6164E-08,9.5724E-08,6.885E-07,-8.0764E-08,-9.0852E-13,-3.6972E-11,-4.2913E-11,-4.4475E-12,-3.8753E-11,-4.276E-11,1.2663E-11,1.6658E-10,-1.2967E-11,1.7454E-11,1.7156E-10,-1.3698E-11,3.7895E-13,-4.1803E-12,2.1641E-10,-1.1428E-12,-5.7299E-12,2.1854E-10
72425,2.2167E-07,2.9749E-06,3.3588E-07,1.409E-07,2.9169E-06,3.1127E-07,8.5831E-08,9.3403E-07,-9.7311E-07,6.0088E-08,9.24E-07,-9.8078E-07,1.0053E-07,6.2895E-07,-3.9045E-08,5.6055E-08,5.9665E-07,-4.5835E-08,-2.5786E-12,-3.8337E-11,-4.1138E-11,-1.4168E-12,-3.7701E-11,-4.0915E-11,1.1132E-11,1.6637E-10,-1.0406E-11,6.482E-12,1.6351E-10,-1.1122E-11,-1.6952E-13,-3.1452E-12,2.1684E-10,-1.2293E-12,-3.789E-12,2.1898E-10
72450,3.2617E-07,3.8802E-06,-5.9541E-09,6.1704E-07,4.4393E-06,-3.2308E-09,-6.59E-08,1.8838E-07,-8.5755E-07,1.792E-07,2.1271E-07,-8.8294E-07,-2.389E-08,4.8038E-07,-1.0522E-07,2.5791E-07,6.6839E-07,-1.4457E-07,-9.0578E-13,-1.0564E-11,-4.6003E-11,-1.0246E-12,-1.0018E-11,-4.6043E-11,8.4566E-12,1.5507E-10,-1.0912E-11,2.4272E-11,1.7337E-10,-1.2208E-11,1.0809E-12,8.1198E-13,2.134E-10,-2.3181E-12,-6.7674E-13,2.162E-10
72451,6.1237E-07,3.847E-06,7.6995E-08,5.6801E-07,3.4985E-06,5.4165E-08,1.7967E-08,2.5114E-07,-8.2282E-07,1.8044E-08,2.5321E-07,-8.8344E-07,1.0598E-07,5.8008E-07,-4.1422E-08,1.5261E-07,4.6336E-07,-8.6364E-08,-2.5437E-12,-1.2258E-11,-4.4167E-11,1.2938E-12,-1.1319E-11,-4.3777E-11,2.0302E-11,1.6793E-10,-6.8553E-12,2.034E-11,1.5765E-10,-9.5773E-12,1.7146E-13,-1.8244E-12,2.1363E-10,-1.399E-12,-2.1708E-12,2.1622E-10
72454,4.4002E-07,3.817E-06,4.5948E-07,4.098E-07,3.7707E-06,4.6731E-07,2.9953E-07,7.8236E-07,-9.0224E-07,-1.1662E-07,5.3952E-07,-9.1415E-07,2.6028E-07,6.09E-07,-6.6936E-08,-8.7356E-08,4.2168E-07,-7.6693E-08,-2.8974E-12,-3.1528E-11,-4.4159E-11,-1.9693E-12,-3.0009E-11,-4.4196E-11,2.2461E-11,1.5684E-10,-9.999E-12,7.4584E-12,1.4804E-10,-1.0081E-11,-3.8254E-12,-2.2216E-12,2.1465E-10,-3.6906E-13,-2.0594E-13,2.1713E-10
72455,4.6696E-07,3.5762E-06,5.3196E-07,5.9126E-07,3.6635E-06,5.0972E-07,-8.211E-09,8.9002E-07,-8.7617E-07,-6.866E-08,8.785E-07,-9.197E-07,1.0147E-07,6.4849E-07,-3.005E-09,2.7053E-08,6.3364E-07,-3.6326E-08,-4.5585E-13,-3.4627E-11,-4.2636E-11,-4.3075E-12,-3.6328E-11,-4.2059E-11,1.5807E-11,1.6348E-10,-6.0698E-12,1.6494E-11,1.6612E-10,-7.4749E-12,-1.0494E-12,-3.5966E-12,2.1532E-10,5.1383E-13,-3.1392E-12,2.1773E-10
72702,4.5687E-07,3.0896E-06,-2.984E-08,6.2421E-07,3.5014E-06,-4.3559E-08,-2.9539E-08,-2.2379E-07,-9.0396E-07,4.7862E-08,-2.3945E-07,-9.0041E-07,1.3412E-07,4.6077E-07,3.0734E-08,1.6987E-07,5.6092E-07,3.6366E-08,2.7613E-12,1.3258E-11,-4.3847E-11,-8.157E-13,1.2369E-11,-4.3712E-11,1.8069E-11,1.5838E-10,7.103E-12,2.1257E-11,1.701E-10,6.7666E-12,1.1586E-12,8.2081E-13,2.158E-10,-5.0164E-13,8.0123E-13,2.1811E-10
