*Stress RAOs
Unit : MPa

,ACC_x, , , , ,,ACC_y, , , , ,,ACC_z, , , , ,,ACC_rx, , , , ,,ACC_ry, , , , ,,ACC_rz, , , , ,
Ele_ID,S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),S11 (Z1),S22 (Z1),S12 (Z1),S11 (Z2),S22 (Z2),S12 (Z2),
72876,-0.00010367,-0.0025343,0.00055558,-0.00029056,-0.0025141,0.00060629,6.39E-05,0.00054291,0.001167,0.00015201,0.00057126,0.0011515,-8.803E-05,-0.0015174,0.00016043,-0.00032137,-0.0015195,0.00021462,1.125,9.897,13.38,2.32,10.28,13.22,0.9313,18.14,-1.562,8.249,18.52,-2.939,3.405,29.34,56.51,8.02,30.79,55.68
72877,-0.00049285,-0.0025887,0.00043616,-0.0008912,-0.0024491,0.00049704,6.1714E-05,0.00067938,0.0011453,9.3427E-05,0.0007086,0.0011318,-0.00045858,-0.0015157,1.8576E-05,-0.00089652,-0.0014482,6.8416E-05,1.455,11.56,12.83,1.855,11.83,12.65,10.83,18.14,2.656,23.56,17.45,1.567,3.433,36.32,55.43,5.327,37.72,54.67
72878,-0.001942,-0.0030358,0.00027446,-0.0022024,-0.0030528,0.00024728,-3.3068E-05,0.00080467,0.0011187,5.6057E-05,0.0009061,0.0011097,-0.0016648,-0.0018594,-0.00013984,-0.00202,-0.0019771,-0.00016696,1.189,13.22,12.1,2.202,14.46,11.98,40.57,27.06,6.989,51.03,31.52,7.691,-0.4608,43.04,54.17,4.118,48.14,53.68
72879,-0.0032207,-0.0039952,6.0412E-05,-0.0035044,-0.0050885,3.1542E-05,-0.00041174,0.00093797,0.0011452,-0.00030678,0.0010936,0.001164,-0.0026037,-0.0026142,-0.00044572,-0.0029194,-0.0036652,-0.00047049,-2.356,15.16,11.86,-0.9547,17.72,12.12,61.42,45.32,16.05,69.62,72.77,16.47,-18.86,50.41,55.51,-13.49,58.88,56.42
72884,-0.00052796,-0.0028208,0.00036314,-0.00014719,-0.0026785,0.00031589,6.8688E-05,0.00032643,0.0012827,5.731E-05,0.00032381,0.0012553,-0.00053676,-0.0017313,8.5211E-05,-0.00014639,-0.0015929,7.8486E-05,1.196,6.237,14.86,0.9392,6.149,14.54,13.65,22.81,-0.1113,3.013,19.02,-0.4622,3.873,18.72,62.6,3.164,18.54,61.21
72885,-0.001336,-0.003004,0.00014439,-0.00035069,-0.0024629,0.00015622,8.1344E-06,0.00037984,0.0012429,9.1543E-05,0.0004193,0.0012215,-0.001291,-0.0017564,-0.00013835,-0.0004436,-0.0012968,-0.00010299,0.6472,6.949,14.06,1.545,7.331,13.83,33.21,22.27,6.093,12.71,11.19,4.848,1.197,21.65,60.66,4.898,23.35,59.55
72886,-0.0024844,-0.0034074,5.9161E-05,-0.0018485,-0.0031517,0.00014538,-4.4092E-05,0.0004739,0.0012214,2.0188E-05,0.00054245,0.0012137,-0.0022106,-0.0020455,-0.00028327,-0.0017053,-0.0018805,-0.00020571,0.643,8.223,13.3,1.394,9.078,13.2,54.51,29.23,10.87,43.93,26.54,8.951,-0.8037,26.68,59.54,2.196,30.04,59.07
72887,-0.0033397,-0.0042393,6.365E-05,-0.003657,-0.0053035,0.00010365,-0.000283,0.00054608,0.0012657,-0.00022369,0.00063869,0.001298,-0.0027788,-0.002732,-0.00028932,-0.0031669,-0.0037832,-0.00027532,-1.534,9.3,12.88,-0.6829,10.96,13.31,65.26,46.89,11.14,78.05,75.67,11,-12.44,30.92,61.78,-9.138,36.25,63.34
72936,-0.0031541,-0.0046119,-5.4584E-06,-0.0035195,-0.0057718,-3.0696E-06,-0.00011853,0.00014279,0.0013291,-0.00013402,0.00016002,0.0013667,-0.0028004,-0.0028081,-0.00032175,-0.0029976,-0.0037533,-0.00029556,-0.4489,3.389,13.52,-0.5015,3.945,14.08,69.31,44.35,12.6,72.17,67.5,11.58,-4.145,10.94,65.06,-4.677,12.61,66.95
