*Panel elements
PID=1, EIDs = 72420, 72421, 72451, 72450
PID=2, EIDs = 72424, 72455, 72425, 72454

Time (s),σx (PID=1),σy (PID=1),τxy (PID=1),UF (PID=1),Buckling Safety (PID=1),σx (PID=2),σy (PID=2),τxy (PID=2),UF (PID=2),Buckling Safety (PID=2)
0.00,11.621,33.658,6.152,0.076831,Pass,14.329,31.992,3.393,0.077905,Pass
0.01,11.557,33.008,6.071,0.075318,Pass,14.263,31.250,3.302,0.076235,Pass
0.03,11.405,31.442,5.848,0.071697,Pass,14.111,29.434,3.062,0.072202,Pass
0.04,11.168,28.982,5.484,0.066096,Pass,13.874,26.599,2.669,0.066023,Pass
0.05,10.853,25.720,5.006,0.058845,Pass,13.559,22.877,1.841,0.058105,Pass
0.06,10.475,21.796,4.460,0.050420,Pass,13.182,18.429,1.234,0.049108,Pass
0.08,10.051,17.381,3.893,0.041381,Pass,12.759,13.471,0.594,0.039685,Pass
0.09,9.598,12.671,3.355,0.032336,Pass,12.308,8.241,-0.165,0.030614,Pass
0.10,9.140,7.882,2.883,0.023932,Pass,11.850,2.996,-0.715,0.022846,Pass
0.11,8.694,0.652,2.530,0.014320,Pass,11.405,-2.517,-1.215,0.019311,Pass
0.13,8.282,-5.179,2.328,0.013092,Pass,10.993,-9.438,-1.515,0.018472,Pass
0.14,7.918,-12.631,2.294,0.012382,Pass,10.629,-13.389,-1.645,0.017728,Pass
0.15,7.623,-16.020,2.432,0.011838,Pass,10.332,-16.466,-1.597,0.017109,Pass
0.16,7.403,-18.579,2.738,0.011472,Pass,10.110,-18.602,-1.370,0.016631,Pass
0.17,7.269,-20.182,3.185,0.011307,Pass,9.973,-19.700,-0.915,0.016316,Pass
0.19,7.225,-20.776,3.762,0.011356,Pass,9.925,-19.740,-0.414,0.016196,Pass
0.20,7.268,-20.375,4.376,0.011604,Pass,9.965,-18.776,0.166,0.016272,Pass
0.21,7.400,-18.973,4.993,0.012044,Pass,10.092,-16.845,0.896,0.016558,Pass
0.22,7.611,-16.648,5.584,0.012653,Pass,10.300,-14.069,1.498,0.017032,Pass
0.24,7.891,-13.521,6.095,0.013388,Pass,10.577,-10.607,2.044,0.017669,Pass
0.25,8.229,-6.198,6.476,0.014202,Pass,10.913,-6.056,2.482,0.018433,Pass
0.26,8.608,-0.673,6.704,0.015042,Pass,11.289,-0.163,2.786,0.019274,Pass
0.28,9.013,3.751,6.767,0.019420,Pass,11.693,4.717,3.258,0.024890,Pass
0.29,9.428,10.723,6.657,0.029981,Pass,12.107,9.145,3.253,0.031870,Pass
0.30,9.836,15.095,6.409,0.037843,Pass,12.515,13.377,3.120,0.039333,Pass
0.31,10.222,19.252,6.038,0.045781,Pass,12.901,17.275,2.868,0.046709,Pass
0.32,10.571,23.029,5.574,0.053306,Pass,13.250,20.695,2.217,0.053461,Pass
0.34,10.870,26.296,5.082,0.060031,Pass,13.550,23.540,1.832,0.059337,Pass
0.35,11.109,28.925,4.589,0.065567,Pass,13.789,25.721,1.429,0.063970,Pass
0.36,11.283,30.860,4.162,0.069707,Pass,13.961,27.223,1.072,0.067227,Pass
0.38,11.386,32.046,3.837,0.072258,Pass,14.062,28.026,0.792,0.069004,Pass
0.39,11.420,32.478,3.664,0.073175,Pass,14.092,28.162,0.637,0.069327,Pass
0.40,11.387,32.184,3.656,0.072501,Pass,14.054,27.684,0.618,0.068302,Pass
0.41,11.291,31.215,3.835,0.070366,Pass,13.951,26.661,0.758,0.066087,Pass
