*Fatigue damage

*Analysis time [sec]
600

*Design life [years]
20

       Element ID,         Case 1,         Case 2,         Case 3,   Total damage(%)
           72876,     6.9483E-006,     2.8996E-005,     2.3851E-005,     2.0830E+001,
           72877,     4.6235E-004,     7.4444E-004,     6.9805E-004,     6.6610E+002,
           72878,     5.1762E-003,     8.4530E-003,     8.1585E-003,     7.6177E+003,
           72879,     1.2824E-002,     2.5495E-002,     2.5362E-002,     2.2241E+004,
           72884,     6.4706E-005,     1.6010E-004,     1.4733E-004,     1.2986E+002,
           72885,     1.5938E-003,     2.5704E-003,     2.4542E-003,     2.3142E+003,
           72886,     7.9733E-003,     1.3732E-002,     1.3393E-002,     1.2268E+004,
           72887,     1.5566E-002,     2.9491E-002,     2.9103E-002,     2.5907E+004,
           72936,     1.4697E-002,     2.6923E-002,     2.6477E-002,     2.3793E+004,
           72937,     5.6622E-003,     9.5568E-003,     9.2621E-003,     8.5577E+003,
           72938,     1.1628E-003,     2.0774E-003,     1.9955E-003,     1.8297E+003,
           72939,     2.2674E-004,     4.2359E-004,     4.0141E-004,     3.6748E+002,
           73838,     7.4681E-006,     3.0130E-005,     2.4928E-005,     2.1784E+001,
           73839,     4.5989E-004,     7.3418E-004,     6.8717E-004,     6.5788E+002,
           73840,     5.1248E-003,     8.3367E-003,     8.0336E-003,     7.5156E+003,
           73841,     1.2716E-002,     2.5096E-002,     2.4912E-002,     2.1907E+004,
           73846,     6.0541E-005,     1.5542E-004,     1.4133E-004,     1.2466E+002,
           73847,     1.5445E-003,     2.4964E-003,     2.3742E-003,     2.2431E+003,
           73848,     7.8270E-003,     1.3422E-002,     1.3060E-002,     1.1992E+004,
           73849,     1.5594E-002,     2.9419E-002,     2.9003E-002,     2.5858E+004,
           73898,     1.4639E-002,     2.6638E-002,     2.6179E-002,     2.3570E+004,
           73899,     5.5337E-003,     9.3826E-003,     9.0894E-003,     8.3914E+003,
           73900,     1.1048E-003,     2.0136E-003,     1.9342E-003,     1.7655E+003,
           73901,     2.1445E-004,     4.1859E-004,     3.9682E-004,     3.5976E+002,
           72420,     1.9592E-002,     8.7928E-002,     9.1323E-002,     6.9231E+004,
           72421,     1.9699E-002,     9.0247E-002,     9.3782E-002,     7.0928E+004,
           72424,     2.0943E-002,     9.1190E-002,     9.4617E-002,     7.1990E+004,
           72425,     1.6646E-002,     7.7405E-002,     8.0547E-002,     6.0784E+004,
           72450,     2.7676E-002,     1.1214E-001,     1.1653E-001,     8.9277E+004,
           72451,     2.1776E-002,     9.5050E-002,     9.8979E-002,     7.5142E+004,
           72454,     1.8368E-002,     8.0120E-002,     8.3356E-002,     6.3317E+004,
           72455,     2.1000E-002,     8.9921E-002,     9.3337E-002,     7.1126E+004,
           72702,     2.0230E-002,     9.0528E-002,     9.3962E-002,     7.1278E+004,
           72703,     2.0130E-002,     9.1204E-002,     9.4675E-002,     7.1724E+004,
           72706,     2.2330E-002,     9.4889E-002,     9.8070E-002,     7.4969E+004,
           72707,     1.7905E-002,     8.0388E-002,     8.3392E-002,     6.3257E+004,
           72732,     2.8292E-002,     1.1404E-001,     1.1795E-001,     9.0647E+004,
           72733,     2.2205E-002,     9.6564E-002,     1.0028E-001,     7.6274E+004,
           72736,     1.9359E-002,     8.2626E-002,     8.5883E-002,     6.5419E+004,
           72737,     2.2310E-002,     9.3041E-002,     9.6550E-002,     7.3793E+004,
